flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2024-09-24,scheduled,"{'airport': 'Samratulangi', 'timezone': 'Asia/Makassar', 'iata': 'MDC', 'icao': 'WAMM', 'terminal': None, 'gate': '34', 'delay': None, 'scheduled': '2024-09-24T06:00:00+00:00', 'estimated': '2024-09-24T06:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Hasanudin', 'timezone': 'Asia/Makassar', 'iata': 'UPG', 'icao': 'WAAA', 'terminal': 'D', 'gate': None, 'baggage': '3', 'delay': None, 'scheduled': '2024-09-24T07:40:00+00:00', 'estimated': '2024-09-24T07:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': None, 'iata': 'X1', 'icao': 'X1'}","{'number': '6230', 'iata': 'X16230', 'icao': 'X16230', 'codeshared': {'airline_name': 'lion air', 'airline_iata': 'jt', 'airline_icao': 'lni', 'flight_number': '741', 'flight_iata': 'jt741', 'flight_icao': 'lni741'}}",,
2024-09-24,active,"{'airport': 'Shanghai Pudong International', 'timezone': 'Asia/Shanghai', 'iata': 'PVG', 'icao': 'ZSPD', 'terminal': None, 'gate': None, 'delay': 10, 'scheduled': '2024-09-24T01:25:00+00:00', 'estimated': '2024-09-24T01:25:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Ted Stevens Anchorage International Airport', 'timezone': 'America/Anchorage', 'iata': 'ANC', 'icao': 'PANC', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-23T17:30:00+00:00', 'estimated': '2024-09-23T17:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'China Southern Airlines', 'iata': 'CZ', 'icao': 'CSN'}","{'number': '435', 'iata': 'CZ435', 'icao': 'CSN435', 'codeshared': None}",,
2024-09-24,scheduled,"{'airport': 'Sydney Kingsford Smith Airport', 'timezone': 'Australia/Sydney', 'iata': 'SYD', 'icao': 'YSSY', 'terminal': '2', 'gate': 'A33', 'delay': None, 'scheduled': '2024-09-24T06:50:00+00:00', 'estimated': '2024-09-24T06:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Ballina Byron Gateway', 'timezone': 'Australia/Sydney', 'iata': 'BNK', 'icao': 'YBNA', 'terminal': '2', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T08:05:00+00:00', 'estimated': '2024-09-24T08:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Jetstar', 'iata': 'JQ', 'icao': 'JST'}","{'number': '456', 'iata': 'JQ456', 'icao': 'JST456', 'codeshared': None}",,
2024-09-24,scheduled,"{'airport': 'Shanghai', 'timezone': 'Asia/Shanghai', 'iata': 'HFE', 'icao': 'ZSOF', 'terminal': None, 'gate': 'A06', 'delay': None, 'scheduled': '2024-09-24T07:30:00+00:00', 'estimated': '2024-09-24T07:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Shanghai Pudong International', 'timezone': 'Asia/Shanghai', 'iata': 'PVG', 'icao': 'ZSPD', 'terminal': '1', 'gate': None, 'baggage': '05', 'delay': None, 'scheduled': '2024-09-24T08:40:00+00:00', 'estimated': '2024-09-24T08:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Juneyao Airlines', 'iata': 'HO', 'icao': 'DKH'}","{'number': '5681', 'iata': 'HO5681', 'icao': 'DKH5681', 'codeshared': {'airline_name': 'china eastern airlines', 'airline_iata': 'mu', 'airline_icao': 'ces', 'flight_number': '6582', 'flight_iata': 'mu6582', 'flight_icao': 'ces6582'}}",,
2024-09-24,active,"{'airport': 'Beijing Capital International', 'timezone': 'Asia/Shanghai', 'iata': 'PEK', 'icao': 'ZBAA', 'terminal': '3', 'gate': 'H22', 'delay': 4, 'scheduled': '2024-09-24T01:00:00+00:00', 'estimated': '2024-09-24T01:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'I', 'gate': None, 'baggage': '5', 'delay': None, 'scheduled': '2024-09-24T17:30:00+00:00', 'estimated': '2024-09-24T17:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '3888', 'iata': 'NZ3888', 'icao': 'ANZ3888', 'codeshared': {'airline_name': 'air china ltd', 'airline_iata': 'ca', 'airline_icao': 'cca', 'flight_number': '783', 'flight_iata': 'ca783', 'flight_icao': 'cca783'}}",,
2024-09-24,scheduled,"{'airport': 'Gimpo Airport', 'timezone': 'Asia/Seoul', 'iata': 'GMP', 'icao': 'RKSS', 'terminal': 'D', 'gate': None, 'delay': None, 'scheduled': '2024-09-24T08:05:00+00:00', 'estimated': '2024-09-24T08:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Gimhae', 'timezone': 'Asia/Seoul', 'iata': 'PUS', 'icao': 'RKPK', 'terminal': 'D', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T09:10:00+00:00', 'estimated': '2024-09-24T09:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Korean Air', 'iata': 'KE', 'icao': 'KAL'}","{'number': '1807', 'iata': 'KE1807', 'icao': 'KAL1807', 'codeshared': None}",,
2024-09-24,scheduled,"{'airport': 'Brisbane International', 'timezone': 'Australia/Brisbane', 'iata': 'BNE', 'icao': 'YBBN', 'terminal': 'D', 'gate': '28', 'delay': None, 'scheduled': '2024-09-24T06:00:00+00:00', 'estimated': '2024-09-24T06:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Williamtown', 'timezone': 'Australia/Sydney', 'iata': 'NTL', 'icao': 'YWLM', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T07:15:00+00:00', 'estimated': '2024-09-24T07:15:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Jetstar', 'iata': 'JQ', 'icao': 'JST'}","{'number': '483', 'iata': 'JQ483', 'icao': 'JST483', 'codeshared': None}",,
2024-09-24,scheduled,"{'airport': 'Suvarnabhumi International', 'timezone': 'Asia/Bangkok', 'iata': 'BKK', 'icao': 'VTBS', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-24T00:50:00+00:00', 'estimated': '2024-09-24T00:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Fukuoka', 'timezone': 'Asia/Tokyo', 'iata': 'FUK', 'icao': 'RJFF', 'terminal': 'I', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T08:00:00+00:00', 'estimated': '2024-09-24T08:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'ANA', 'iata': 'NH', 'icao': 'ANA'}","{'number': '5990', 'iata': 'NH5990', 'icao': 'ANA5990', 'codeshared': {'airline_name': 'thai airways international', 'airline_iata': 'tg', 'airline_icao': 'tha', 'flight_number': '648', 'flight_iata': 'tg648', 'flight_icao': 'tha648'}}",,
2024-09-24,scheduled,"{'airport': 'Almaty', 'timezone': 'Asia/Almaty', 'iata': 'ALA', 'icao': 'UAAA', 'terminal': '1', 'gate': '202B', 'delay': None, 'scheduled': '2024-09-24T01:00:00+00:00', 'estimated': '2024-09-24T01:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Dushanbe', 'timezone': 'Asia/Dushanbe', 'iata': 'DYU', 'icao': 'UTDD', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T02:40:00+00:00', 'estimated': '2024-09-24T02:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Somon Air', 'iata': 'SZ', 'icao': 'SMR'}","{'number': '216', 'iata': 'SZ216', 'icao': 'SMR216', 'codeshared': None}",,
2024-09-24,cancelled,"{'airport': 'Soekarno-Hatta International', 'timezone': 'Asia/Jakarta', 'iata': 'CGK', 'icao': 'WIII', 'terminal': '2', 'gate': None, 'delay': None, 'scheduled': '2024-09-24T02:00:00+00:00', 'estimated': '2024-09-24T02:00:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Samratulangi', 'timezone': 'Asia/Makassar', 'iata': 'MDC', 'icao': 'WAMM', 'terminal': 'T1', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-24T06:20:00+00:00', 'estimated': '2024-09-24T06:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Batik Air', 'iata': 'ID', 'icao': 'BTK'}","{'number': '6742', 'iata': 'ID6742', 'icao': 'BTK6742', 'codeshared': None}",,
