icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount,date,datetime_x,tempmax_x,tempmin_x,humidity_x,conditions_x,description_x,datetime_y,tempmax_y,tempmin_y,humidity_y,conditions_y,description_y
a446aa,1610075639,KATL,1610081519,KJFK,DAL426  ,1932.0,83.0,1466,34,0,1,2021-01-08,,,,,,,,,,,,
0d0b10,1610073861,Unknown,1610081367,KJFK,VOI894  ,1636.0,115.0,3897,133,0,2,2021-01-08,,,,,,,,,,,,
a82520,1610067146,KSLC,1610081254,KJFK,DAL789  ,2414.0,121.0,1200,18,1,1,2021-01-08,,,,,,,,,,,,
ac8e1d,1610072194,KMIA,1610080461,KJFK,AAL1357 ,3528.0,149.0,2753,56,1,2,2021-01-08,,,,,,,,,,,,
a44031,1610071922,KTPA,1610079308,KJFK,DAL1373 ,2397.0,502.0,1236,11,3,1,2021-01-08,,,,,,,,,,,,
0c206b,1610070143,Unknown,1610078639,KJFK,CMP804  ,1636.0,115.0,3259,72,0,2,2021-01-08,,,,,,,,,,,,
aa7c64,1610068191,Unknown,1610077706,KJFK,JBU1206 ,1636.0,115.0,2929,72,0,2,2021-01-08,,,,,,,,,,,,
ab52a2,1610064505,TJSJ,1610077575,KJFK,DAL1853 ,4369.0,385.0,1770,34,1,1,2021-01-08,,,,,,,,,,,,
a3b4c8,1610069352,KFLL,1610077417,KJFK,DAL1379 ,2742.0,347.0,1278,11,2,1,2021-01-08,,,,,,,,,,,,
a78945,1610065665,KDEN,1610077318,KJFK,JBU1498 ,6838.0,379.0,3404,95,6,2,2021-01-08,,,,,,,,,,,,
a130db,1610069129,KOPF,1610077066,KJFK,N176QF  ,1923.0,119.0,1305,3,2,1,2021-01-08,,,,,,,,,,,,
a95584,1610068285,Unknown,1610076653,KJFK,EAL231  ,1636.0,115.0,3630,125,0,2,2021-01-08,,,,,,,,,,,,
a19d0d,1610068317,KFLL,1610076437,KJFK,JBU2    ,2145.0,103.0,3923,125,1,2,2021-01-08,,,,,,,,,,,,
a5e02d,1610072290,KDTW,1610076345,KJFK,EDV5223 ,1715.0,275.0,1212,11,1,1,2021-01-08,,,,,,,,,,,,
aaa6dd,1610068012,KMIA,1610076012,KJFK,AAL243  ,2676.0,134.0,2729,49,1,2,2021-01-08,,,,,,,,,,,,
a30520,1610069472,Unknown,1610075817,KJFK,JBU576  ,1636.0,115.0,2745,49,0,2,2021-01-08,,,,,,,,,,,,
a4a0cd,1610067716,KRSW,1610075517,KJFK,DAL1525 ,791.0,105.0,1396,11,3,1,2021-01-08,,,,,,,,,,,,
ac893a,1610070840,KCLT,1610075210,KJFK,AAL810  ,2888.0,366.0,1202,3,0,1,2021-01-08,,,,,,,,,,,,
a3d10f,1610067526,KMSP,1610075121,KJFK,DAL1011 ,2084.0,40.0,1720,34,2,1,2021-01-08,,,,,,,,,,,,
a44cda,1610068083,KMCO,1610075009,KJFK,DAL1340 ,13872.0,1395.0,1204,3,0,1,2021-01-08,,,,,,,,,,,,
a7a1e8,1610064027,Unknown,1610074767,KJFK,JBU962  ,1636.0,115.0,3961,133,0,2,2021-01-08,,,,,,,,,,,,
ab2496,1610068747,Unknown,1610074438,KJFK,AAL2393 ,1636.0,115.0,3327,87,0,2,2021-01-08,,,,,,,,,,,,
acb963,1610066853,KJFK,1610074395,KJFK,N919PD  ,10244.0,64.0,10548,34,0,2,2021-01-08,,,,,,,,,,,,
740823,1610067989,Unknown,1610074232,KJFK,RJA12B  ,1636.0,115.0,3927,117,0,2,2021-01-08,,,,,,,,,,,,
ad27f3,1610064070,Unknown,1610074100,KJFK,JBU464  ,1636.0,115.0,3417,79,0,2,2021-01-08,,,,,,,,,,,,
a8299a,1610064919,Unknown,1610073578,KJFK,JBU1552 ,1636.0,115.0,4279,156,0,2,2021-01-08,,,,,,,,,,,,
ac7aa9,1610071217,Unknown,1610073382,KJFK,DAL1863 ,1636.0,115.0,1178,3,0,1,2021-01-08,,,,,,,,,,,,
a98539,1610064005,Unknown,1610073264,KJFK,DAL301  ,1636.0,115.0,1249,11,0,1,2021-01-08,,,,,,,,,,,,
a1a0c4,1610065182,KRSW,1610073148,KJFK,JBU1730 ,943.0,82.0,3957,125,3,2,2021-01-08,,,,,,,,,,,,
4d0113,1610068277,Unknown,1610072879,KJFK,CLX4314 ,1636.0,115.0,1394,18,0,1,2021-01-08,,,,,,,,,,,,
a8e279,1610067117,Unknown,1610072718,KJFK,DAL1567 ,1636.0,115.0,1198,18,0,1,2021-01-08,,,,,,,,,,,,
06a0e4,1610067341,Unknown,1610072567,KJFK,QTR705  ,1636.0,115.0,2469,34,0,1,2021-01-08,,,,,,,,,,,,
ac45ac,1610070171,Unknown,1610072368,KJFK,DAL1818 ,1636.0,115.0,1566,26,0,1,2021-01-08,,,,,,,,,,,,
a42665,1610064004,Unknown,1610072151,KJFK,ATN3456 ,1636.0,115.0,1149,11,0,1,2021-01-08,,,,,,,,,,,,
ad646e,1610064004,Unknown,1610071964,KJFK,JBU2050 ,1636.0,115.0,4292,148,0,2,2021-01-08,,,,,,,,,,,,
ad444d,1610064366,KTPA,1610071842,KJFK,JBU2926 ,3912.0,632.0,2966,56,3,2,2021-01-08,,,,,,,,,,,,
a94156,1610064102,Unknown,1610071761,KJFK,DAL606  ,1636.0,115.0,1112,3,0,1,2021-01-08,,,,,,,,,,,,
ad2095,1610064004,Unknown,1610071571,KJFK,JBU1448 ,1636.0,115.0,4074,125,0,2,2021-01-08,,,,,,,,,,,,
a8712a,1610069362,Unknown,1610071471,KJFK,JBU2110 ,1636.0,115.0,3259,87,0,2,2021-01-08,,,,,,,,,,,,
aca29a,1610068912,Unknown,1610071253,KJFK,JBU1634 ,1636.0,115.0,2967,64,0,2,2021-01-08,,,,,,,,,,,,
ac89f7,1610064068,Unknown,1610071137,KJFK,JBU1054 ,1636.0,115.0,3000,64,0,2,2021-01-08,,,,,,,,,,,,
a90ea8,1610064003,Unknown,1610071078,KJFK,DAL643  ,1636.0,115.0,1277,18,0,1,2021-01-08,,,,,,,,,,,,
a6587b,1610064003,Unknown,1610071037,KJFK,JBU2236 ,1636.0,115.0,3703,110,0,2,2021-01-08,,,,,,,,,,,,
acb1f5,1610066247,KJFK,1610070929,KJFK,N917PD  ,9810.0,49.0,9979,11,0,2,2021-01-08,,,,,,,,,,,,
a74b1b,1610064006,Unknown,1610070926,KJFK,SCX3022 ,1636.0,115.0,1183,3,0,1,2021-01-08,,,,,,,,,,,,
ad935b,1610068577,Unknown,1610070585,KJFK,JBU1528 ,1636.0,115.0,2977,64,0,2,2021-01-08,,,,,,,,,,,,
a997cc,1610064004,Unknown,1610070435,KJFK,DAL325  ,1636.0,115.0,1307,18,0,1,2021-01-08,,,,,,,,,,,,
a4b5df,1610064005,Unknown,1610070425,KJFK,UPS2106 ,1636.0,115.0,3870,125,0,2,2021-01-08,,,,,,,,,,,,
a95dba,1610064009,Unknown,1610070339,KJFK,DAL428  ,1636.0,115.0,2740,56,0,2,2021-01-08,,,,,,,,,,,,
adc5ff,1610064004,Unknown,1610070183,KJFK,JBU1524 ,1636.0,115.0,4326,140,0,2,2021-01-08,,,,,,,,,,,,
a8058a,1610064004,Unknown,1610070026,KJFK,FDX764  ,1636.0,115.0,2961,64,0,2,2021-01-08,,,,,,,,,,,,
a96c96,1610064003,Unknown,1610069932,KJFK,DAL540  ,1636.0,115.0,1239,11,0,1,2021-01-08,,,,,,,,,,,,
8990da,1610065419,Unknown,1610069814,KJFK,EVA032  ,1636.0,115.0,3310,87,0,2,2021-01-08,,,,,,,,,,,,
a14fe0,1610064003,Unknown,1610069616,KJFK,DAL1685 ,1636.0,115.0,1207,3,0,1,2021-01-08,,,,,,,,,,,,
ad7ab8,1610064004,Unknown,1610069429,KJFK,JBU190  ,1636.0,115.0,3059,64,0,2,2021-01-08,,,,,,,,,,,,
a92145,1610064004,Unknown,1610069267,KJFK,DAL429  ,1636.0,115.0,1170,3,0,1,2021-01-08,,,,,,,,,,,,
a6a00b,1610066709,Unknown,1610068821,KJFK,JBU2636 ,1636.0,115.0,3465,95,0,2,2021-01-08,,,,,,,,,,,,
ab6fdd,1610064004,Unknown,1610068728,KJFK,AAL496  ,1636.0,115.0,2745,41,0,2,2021-01-08,,,,,,,,,,,,
40771a,1610065423,Unknown,1610068537,KJFK,VIR25B  ,1636.0,115.0,2848,56,0,2,2021-01-08,,,,,,,,,,,,
c01aa6,1610066231,Unknown,1610068475,KJFK,CJT246  ,1636.0,115.0,2804,56,0,2,2021-01-08,,,,,,,,,,,,
ace175,1610064004,Unknown,1610067679,KJFK,ASA426  ,1636.0,115.0,2984,64,0,2,2021-01-08,,,,,,,,,,,,
ab60e3,1610064004,Unknown,1610067288,KJFK,DAL319  ,1636.0,115.0,1369,49,0,1,2021-01-08,,,,,,,,,,,,
ab2760,1610064985,Unknown,1610067082,KJFK,DAL1843 ,1636.0,115.0,1177,3,0,1,2021-01-08,,,,,,,,,,,,
abb6dc,1610064003,Unknown,1610066962,KJFK,QFA7581 ,1636.0,115.0,2085,11,0,1,2021-01-08,,,,,,,,,,,,
aaf968,1610064004,Unknown,1610066776,KJFK,DAL620  ,1636.0,115.0,1208,3,0,1,2021-01-08,,,,,,,,,,,,
a8e2d6,1610064326,Unknown,1610066571,KJFK,DAL1886 ,1636.0,115.0,1255,11,0,1,2021-01-08,,,,,,,,,,,,
ad3581,1610064003,Unknown,1610066466,KJFK,JBU384  ,1636.0,115.0,2848,49,0,2,2021-01-08,,,,,,,,,,,,
aca99c,1610064097,Unknown,1610066248,KJFK,DAL1849 ,1636.0,115.0,2057,49,0,1,2021-01-08,,,,,,,,,,,,
a1b2ee,1610064129,Unknown,1610066241,KJFK,JBU2404 ,1636.0,115.0,2739,56,0,2,2021-01-08,,,,,,,,,,,,
a65c29,1610064100,Unknown,1610066125,KJFK,JBU1568 ,1636.0,115.0,2694,49,0,2,2021-01-08,,,,,,,,,,,,
a37023,1610064003,Unknown,1610065598,KJFK,DAL1327 ,1636.0,115.0,1430,18,0,1,2021-01-08,,,,,,,,,,,,
acce3f,1610064005,Unknown,1610065541,KJFK,AAL978  ,1636.0,115.0,2847,56,0,2,2021-01-08,,,,,,,,,,,,
a8ce92,1610064003,Unknown,1610065021,KJFK,DAL624  ,1636.0,115.0,1168,3,0,1,2021-01-08,,,,,,,,,,,,
a72b6b,1610064005,Unknown,1610064798,KJFK,JBU2610 ,1636.0,115.0,2863,56,0,2,2021-01-08,,,,,,,,,,,,
aa4252,1610049159,Unknown,1610063359,KJFK,JBU882  ,1636.0,115.0,3156,79,0,2,2021-01-07,,,,,,,,,,,,
a44d85,1610060440,Unknown,1610063053,KJFK,DAL1906 ,1636.0,115.0,1693,26,0,1,2021-01-07,,,,,,,,,,,,
4005c1,1610037545,EGLL,1610062185,KJFK,BAW33K  ,686.0,17.0,3271,87,3,2,2021-01-07,,,,,,,,,,,,
a3a575,1610058530,KROC,1610061380,KJFK,JBU685  ,1603.0,109.0,3684,87,2,2,2021-01-07,,,,,,,,,,,,
a8deb4,1610058810,Unknown,1610061286,KJFK,DAL612  ,1636.0,115.0,1884,56,0,1,2021-01-07,,,,,,,,,,,,
a4077d,1610052973,KFLL,1610061094,KJFK,DAL1631 ,2625.0,347.0,1996,56,2,1,2021-01-07,,,,,,,,,,,,
a66239,1610056720,Unknown,1610060988,KJFK,JBU2660 ,1636.0,115.0,3718,110,0,2,2021-01-07,,,,,,,,,,,,
ad4f72,1610058220,Unknown,1610060860,KJFK,JBU1058 ,1636.0,115.0,4097,133,0,2,2021-01-07,,,,,,,,,,,,
abba43,1610052423,Unknown,1610060762,KJFK,DAL1957 ,1636.0,115.0,1688,34,0,1,2021-01-07,,,,,,,,,,,,
a3ff4e,1610058422,KBOS,1610060756,KJFK,RPA5717 ,1013.0,108.0,4464,156,0,2,2021-01-07,,,,,,,,,,,,
a186ad,1610058324,KBOS,1610060678,KJFK,JBU317  ,1130.0,115.0,3412,87,0,2,2021-01-07,,,,,,,,,,,,
ad734a,1610058091,Unknown,1610060546,KJFK,JBU1436 ,1636.0,115.0,4102,125,0,2,2021-01-07,,,,,,,,,,,,
3965a0,1610035055,LFPG,1610060398,KJFK,AFR010  ,2348.0,25.0,4120,133,2,2,2021-01-07,,,,,,,,,,,,
ad5d5f,1610044168,KPHX,1610060317,KJFK,AAL738  ,1179.0,57.0,3272,79,2,2,2021-01-07,,,,,,,,,,,,
aab2bf,1610047821,Unknown,1610060148,KJFK,JBU872  ,1636.0,115.0,4056,133,0,2,2021-01-07,,,,,,,,,,,,
738c05,1610034544,EBLG,1610059925,KJFK,ICL991  ,2060.0,202.0,3559,102,0,2,2021-01-07,,,,,,,,,,,,
a6152a,1610056050,KRDU,1610059885,KJFK,EDV4784 ,1422.0,96.0,1881,56,0,1,2021-01-07,,,,,,,,,,,,
ac754b,1610047472,Unknown,1610059783,KJFK,AAL787  ,1636.0,115.0,3269,79,0,2,2021-01-07,,,,,,,,,,,,
a0d72b,1610054978,KCLT,1610059605,KJFK,AAL786  ,1965.0,259.0,3714,102,0,2,2021-01-07,,,,,,,,,,,,
ad846f,1610046520,TJSJ,1610059496,KJFK,JBU1304 ,3421.0,599.0,3629,102,1,2,2021-01-07,,,,,,,,,,,,
a33339,1610055048,KDTW,1610059139,KJFK,EDV4785 ,4464.0,588.0,4112,148,0,2,2021-01-07,,,,,,,,,,,,
a418b2,1610051886,KMCO,1610058996,KJFK,DAL2015 ,14764.0,1578.0,2244,72,0,1,2021-01-07,,,,,,,,,,,,
a7b0c4,1610056486,Unknown,1610058970,KJFK,JBU310  ,1636.0,115.0,4097,140,0,2,2021-01-07,,,,,,,,,,,,
869210,1610015019,Unknown,1610058799,KJFK,ANA10   ,1636.0,115.0,3771,117,0,2,2021-01-07,,,,,,,,,,,,
a2cfcb,1610053442,KSDF,1610058690,KJFK,UPS2114 ,2277.0,312.0,2171,72,2,1,2021-01-07,,,,,,,,,,,,
4ba950,1610023025,LTFM,1610058682,KJFK,THY1    ,2043.0,350.0,3533,102,0,2,2021-01-07,,,,,,,,,,,,
abe1c2,1610056233,Unknown,1610058553,KJFK,DAL1829 ,1636.0,115.0,3686,102,0,2,2021-01-07,,,,,,,,,,,,
adf128,1610056382,Unknown,1610058282,KJFK,JBU2436 ,1636.0,115.0,3116,72,0,2,2021-01-07,,,,,,,,,,,,
89911e,1610034969,PANC,1610058038,KJFK,CAL5322 ,1744.0,235.0,3478,102,7,2,2021-01-07,,,,,,,,,,,,
ab1c47,1610055368,Unknown,1610057869,KJFK,DAL1833 ,1636.0,115.0,3258,79,0,2,2021-01-07,,,,,,,,,,,,
a04a49,1610046960,KAUS,1610057835,KJFK,DAL425  ,3563.0,474.0,2047,56,3,1,2021-01-07,,,,,,,,,,,,
addadb,1610039583,KSFO,1610057718,KJFK,JBU216  ,182.0,87.0,3608,102,0,2,2021-01-07,,,,,,,,,,,,
a9acb8,1610044835,TJSJ,1610057651,KJFK,DAL639  ,3626.0,614.0,1796,49,1,1,2021-01-07,,,,,,,,,,,,
a3b808,1610047485,Unknown,1610057557,KJFK,JBU1382 ,1636.0,115.0,3811,117,0,2,2021-01-07,,,,,,,,,,,,
020122,1610031931,GMMN,1610057363,KJFK,RAM200N ,965.0,66.0,3812,110,0,2,2021-01-07,,,,,,,,,,,,
a0563b,1610045185,KDEN,1610057078,KJFK,DAL875  ,6011.0,440.0,2127,64,5,1,2021-01-07,,,,,,,,,,,,
ab8b56,1610050752,KATL,1610056781,KJFK,DAL422  ,1544.0,68.0,2749,49,1,2,2021-01-07,,,,,,,,,,,,
acb1f5,1610055062,KJFK,1610056743,KJFK,N917PD  ,9728.0,56.0,10044,41,0,2,2021-01-07,,,,,,,,,,,,
ab8112,1610047620,Unknown,1610056592,KJFK,AAL1327 ,1636.0,115.0,3680,110,0,2,2021-01-07,,,,,,,,,,,,
aded77,1610048168,KFLL,1610056424,KJFK,JBU1572 ,2370.0,149.0,4168,133,1,2,2021-01-07,,,,,,,,,,,,
ab3d17,1610053521,KDCA,1610056334,KJFK,RPA5772 ,914.0,117.0,4003,125,0,2,2021-01-07,,,,,,,,,,,,
a19cc7,1610047725,Unknown,1610056226,KJFK,JBU380  ,1636.0,115.0,4150,140,0,2,2021-01-07,,,,,,,,,,,,
ac382e,1610053563,Unknown,1610056099,KJFK,DAL1822 ,1636.0,115.0,2766,49,0,2,2021-01-07,,,,,,,,,,,,
ab6fbf,1610038372,KLAX,1610056089,KJFK,DAL392  ,1615.0,22.0,1998,56,2,1,2021-01-07,,,,,,,,,,,,
abff50,1610048761,Unknown,1610055979,KJFK,RPA5625 ,1636.0,115.0,3280,87,0,2,2021-01-07,,,,,,,,,,,,
a7456c,1610045232,KDFW,1610055793,KJFK,JBU710  ,1008.0,81.0,3545,102,4,2,2021-01-07,,,,,,,,,,,,
a299c8,1610052908,Unknown,1610055592,KJFK,JBU33   ,1636.0,115.0,3919,125,0,2,2021-01-07,,,,,,,,,,,,
484443,1610028518,EHAM,1610055137,KJFK,KLM641  ,4689.0,18.0,4557,224,0,1,2021-01-07,,,,,,,,,,,,
ad4bcb,1610045513,Unknown,1610055024,KJFK,JBU1452 ,1636.0,115.0,4307,148,0,2,2021-01-07,,,,,,,,,,,,
ad8bed,1610052827,Unknown,1610054907,KJFK,JBU268  ,1636.0,115.0,3550,102,0,2,2021-01-07,,,,,,,,,,,,
a561fd,1610031782,PANC,1610054680,KJFK,GTI555  ,4116.0,418.0,5344,224,8,2,2021-01-07,,,,,,,,,,,,
aa86cc,1610037297,KLAX,1610054261,KJFK,AAL2    ,618.0,7.0,4182,140,3,2,2021-01-07,,,,,,,,,,,,
a40654,1610049120,KCVG,1610054000,KJFK,ATN3451 ,9918.0,1014.0,1215,11,1,1,2021-01-07,,,,,,,,,,,,
a79768,1610035664,KSFO,1610053846,KJFK,ASA1022 ,359.0,87.0,2771,49,0,2,2021-01-07,,,,,,,,,,,,
a968df,1610036143,KSEA,1610053791,KJFK,DAL320  ,964.0,86.0,1774,49,2,1,2021-01-07,,,,,,,,,,,,
ab4840,1610039881,KSLC,1610053610,KJFK,DAL772  ,5042.0,502.0,849,19,1,1,2021-01-07,,,,,,,,,,,,
a3b86c,1610045451,KMSP,1610053466,KJFK,DAL2104 ,1557.0,73.0,1385,26,2,1,2021-01-07,,,,,,,,,,,,
a71ded,1610051047,Unknown,1610053418,KJFK,JBU528  ,1636.0,115.0,4344,156,0,2,2021-01-07,,,,,,,,,,,,
a1b449,1610046462,KORD,1610052581,KJFK,RPA5707 ,1105.0,113.0,4398,163,0,2,2021-01-07,,,,,,,,,,,,
abea64,1610050063,KBOS,1610052427,KJFK,RPA5710 ,1063.0,138.0,4855,178,0,2,2021-01-07,,,,,,,,,,,,
3965a1,1610027040,LFPG,1610052215,KJFK,AFR006  ,2401.0,12.0,4643,171,2,2,2021-01-07,,,,,,,,,,,,
a5fc87,1610047200,Unknown,1610051459,KJFK,EDV5178 ,1636.0,115.0,1863,56,0,1,2021-01-07,,,,,,,,,,,,
0d071b,1610037245,MMMX,1610051205,KJFK,AMX402  ,6922.0,444.0,3338,95,0,2,2021-01-07,,,,,,,,,,,,
a96171,1610032245,KSFO,1610050456,KJFK,DAL310  ,435.0,80.0,1280,26,0,1,2021-01-07,,,,,,,,,,,,
ad9712,1610048103,Unknown,1610050424,KJFK,JBU736  ,1636.0,115.0,4026,133,0,2,2021-01-07,,,,,,,,,,,,
a73a47,1610042303,KSRQ,1610050228,KJFK,JBU164  ,51.0,9.0,4442,163,0,2,2021-01-07,,,,,,,,,,,,
0c20bd,1610033227,MPTO,1610050071,KJFK,CMP874  ,1997.0,286.0,4355,148,0,2,2021-01-07,,,,,,,,,,,,
4ca86e,1610026824,EIDW,1610049926,KJFK,EIN105  ,934.0,10.0,3138,79,1,2,2021-01-07,,,,,,,,,,,,
ade252,1610047530,Unknown,1610049815,KJFK,JBU634  ,1636.0,115.0,3202,95,0,2,2021-01-07,,,,,,,,,,,,
a35eb0,1610041098,KMIA,1610049598,KJFK,AAL1184 ,1977.0,81.0,1425,26,1,1,2021-01-07,,,,,,,,,,,,
ad9e73,1610031847,KLAX,1610049447,KJFK,JBU224  ,855.0,45.0,3187,79,3,2,2021-01-07,,,,,,,,,,,,
a1286c,1610031621,KLAX,1610049434,KJFK,DAL324  ,1293.0,30.0,1262,26,2,1,2021-01-07,,,,,,,,,,,,
a654cb,1610043194,KATL,1610049293,KJFK,JBU2820 ,899.0,53.0,2820,72,1,2,2021-01-07,,,,,,,,,,,,
a6f581,1610031489,KLAX,1610049157,KJFK,SCX3054 ,712.0,15.0,3170,110,2,2,2021-01-07,,,,,,,,,,,,
0c6031,1610044742,Unknown,1610048699,KJFK,BWA15   ,1636.0,115.0,2961,72,0,2,2021-01-07,,,,,,,,,,,,
0c6017,1610029880,Unknown,1610048565,KJFK,BWA526  ,1636.0,115.0,4215,156,0,2,2021-01-07,,,,,,,,,,,,
acb963,1610046300,NY94,1610048402,KJFK,N919PD  ,4419.0,1204.0,9705,41,5,2,2021-01-07,,,,,,,,,,,,
01012a,1610011481,Unknown,1610048227,KJFK,MSR985  ,1636.0,115.0,3413,110,0,2,2021-01-07,,,,,,,,,,,,
a6a3c2,1610035515,TJSJ,1610048136,KJFK,JBU1004 ,3483.0,530.0,3878,133,1,2,2021-01-07,,,,,,,,,,,,
a33666,1610044059,Unknown,1610048022,KJFK,JBU1274 ,1636.0,115.0,2787,64,0,2,2021-01-07,,,,,,,,,,,,
a39ac7,1610039238,KMIA,1610047497,KJFK,DAL1795 ,1947.0,127.0,1687,49,1,1,2021-01-07,,,,,,,,,,,,
abb775,1610041360,KATL,1610047280,KJFK,DAL44   ,1176.0,144.0,1894,72,1,1,2021-01-07,,,,,,,,,,,,
a9cb18,1610023359,EGLL,1610046790,KJFK,AAL105  ,813.0,25.0,4125,148,3,2,2021-01-07,,,,,,,,,,,,
ab282b,1610042050,Unknown,1610046328,KJFK,RPA5609 ,1636.0,115.0,1252,18,0,1,2021-01-07,,,,,,,,,,,,
06a12e,1609998404,OTHH,1610046254,KJFK,QTR8UH  ,1497.0,26.0,3237,102,1,2,2021-01-07,,,,,,,,,,,,
ad3cdf,1610033265,TJSJ,1610046159,KJFK,JBU1804 ,3599.0,530.0,2759,64,1,2,2021-01-07,,,,,,,,,,,,
a3b4c8,1610037481,KFLL,1610046084,KJFK,DAL1731 ,2871.0,401.0,1166,11,2,1,2021-01-07,,,,,,,,,,,,
a44cda,1610038733,KMCO,1610045931,KJFK,DAL1065 ,13421.0,1746.0,1105,3,0,1,2021-01-07,,,,,,,,,,,,
ad56e0,1610041793,Unknown,1610045789,KJFK,JBU560  ,1636.0,115.0,3003,79,0,2,2021-01-07,,,,,,,,,,,,
a4350c,1610038083,KTPA,1610045658,KJFK,DAL1794 ,3503.0,555.0,1657,49,3,1,2021-01-07,,,,,,,,,,,,
abee1b,1610027370,KDTW,1610045549,KJFK,RPA5775 ,1810.0,245.0,3953,133,1,2,2021-01-07,,,,,,,,,,,,
a445f8,1610037337,KRSW,1610045473,KJFK,DAL1396 ,453.0,21.0,1641,41,3,1,2021-01-07,,,,,,,,,,,,
a30c8e,1610041576,KRDU,1610045368,KJFK,JBU86   ,1203.0,3.0,4093,148,0,2,2021-01-07,,,,,,,,,,,,
4005c0,1610020767,EGLL,1610045224,KJFK,BAW173  ,1054.0,32.0,3787,133,2,2,2021-01-07,,,,,,,,,,,,
a1a458,1610037712,KMCO,1610045001,KJFK,JBU2884 ,12741.0,1464.0,2724,64,0,2,2021-01-07,,,,,,,,,,,,
a1a0c4,1610042347,Unknown,1610044884,KJFK,JBU2536 ,1636.0,115.0,2782,64,0,2,2021-01-07,,,,,,,,,,,,
8964a5,1609995899,OMDB,1610044637,KJFK,UAE201  ,1069.0,72.0,3707,125,0,2,2021-01-07,,,,,,,,,,,,
a8d224,1610040754,KRDU,1610044487,KJFK,EDV4893 ,1186.0,65.0,1421,41,0,1,2021-01-07,,,,,,,,,,,,
4d22a2,1610020209,EGHH,1610044402,KJFK,MLT241  ,128.0,57.0,4294,148,0,2,2021-01-07,,,,,,,,,,,,
ad8fa4,1610041633,Unknown,1610043938,KJFK,JBU510  ,1636.0,115.0,3919,133,0,2,2021-01-07,,,,,,,,,,,,
a78945,1610036635,TXKF,1610043389,KJFK,JBU2232 ,924.0,3.0,3003,79,0,2,2021-01-07,,,,,,,,,,,,
a91b2b,1610029413,Unknown,1610043209,KJFK,TAI576  ,1636.0,115.0,3438,110,0,2,2021-01-07,,,,,,,,,,,,
0d0b3f,1610028211,MMMX,1610043088,KJFK,VIV100  ,7614.0,490.0,3038,87,0,2,2021-01-07,,,,,,,,,,,,
896409,1609993498,OMAA,1610042913,KJFK,ETD11B  ,14360.0,902.0,3448,102,0,2,2021-01-07,,,,,,,,,,,,
4ba956,1610006451,LTFM,1610042830,KJFK,THY6107 ,1880.0,342.0,2750,64,0,2,2021-01-07,,,,,,,,,,,,
a299c8,1610038639,KDTW,1610042695,KJFK,JBU920  ,6693.0,809.0,2810,64,0,2,2021-01-07,,,,,,,,,,,,
846def,1610036092,KORD,1610041722,KJFK,NCA159  ,1096.0,128.0,2783,64,0,2,2021-01-07,,,,,,,,,,,,
a1741a,1610037362,Unknown,1610041580,KJFK,JBU678  ,1636.0,115.0,2777,72,0,2,2021-01-07,,,,,,,,,,,,
a4c34c,1610014988,EHAM,1610041510,KJFK,DAL49   ,4699.0,10.0,1213,18,0,1,2021-01-07,,,,,,,,,,,,
abac50,1610012220,LIMC,1610041393,KJFK,DAL3465 ,1119.0,28.0,2275,79,2,1,2021-01-07,,,,,,,,,,,,
3c6569,1610013042,EDDF,1610041250,KJFK,DLH400  ,1552.0,11.0,1482,34,1,1,2021-01-07,,,,,,,,,,,,
0d0710,1610027012,MMMX,1610041155,KJFK,AMX408  ,10936.0,703.0,2739,56,0,2,2021-01-07,,,,,,,,,,,,
a30520,1610038350,KSYR,1610041044,KJFK,JBU315  ,1861.0,206.0,2490,56,1,1,2021-01-07,,,,,,,,,,,,
407699,1610016905,EGLL,1610040792,KJFK,VIR603  ,1514.0,48.0,4626,178,2,2,2021-01-07,,,,,,,,,,,,
ac89f7,1610032609,KFLL,1610040719,KJFK,JBU2302 ,2804.0,187.0,3115,79,1,2,2021-01-07,,,,,,,,,,,,
acb1f5,1610036770,KJFK,1610040113,KJFK,N917PD  ,10683.0,26.0,10079,3,0,2,2021-01-07,,,,,,,,,,,,
adf066,1610037485,KSYR,1610040015,KJFK,N998AL  ,1915.0,85.0,1536,26,1,1,2021-01-07,,,,,,,,,,,,
a2c7ff,1610021169,SKBO,1610039388,KJFK,AVA210  ,4906.0,270.0,2749,49,0,2,2021-01-07,,,,,,,,,,,,
ab35d3,1610016416,EIDW,1610039242,KJFK,DAL3463 ,488.0,12.0,1249,18,1,1,2021-01-07,,,,,,,,,,,,
ace18e,1610038514,KHPN,1610039134,KJFK,N929WA  ,14558.0,270.0,2683,11,0,1,2021-01-07,,,,,,,,,,,,
ab00d6,1610013271,LFPG,1610039056,KJFK,DAL263  ,2208.0,40.0,1167,11,2,1,2021-01-07,,,,,,,,,,,,
ab649a,1610014080,EGLL,1610038889,KJFK,DAL2    ,1182.0,40.0,2109,72,2,1,2021-01-07,,,,,,,,,,,,
a11380,1610012767,LEMD,1610038572,KJFK,DAL3337 ,2893.0,8.0,1626,41,1,1,2021-01-07,,,,,,,,,,,,
71c010,1609990177,RKSI,1610038062,KJFK,KAL081  ,2407.0,145.0,2478,41,0,1,2021-01-07,,,,,,,,,,,,
